user_id,signup_date,test_group,onboarding_step_reached,feature_A_clicks,feature_B_clicks,churned
USR-00052,2025-03-15,Variant,3,3,1,True
USR-00053,2025-07-28,Variant,1,2,2,True
USR-00054,2025-05-05,Variant,5,5,1,True
USR-00055,2025-11-15,Variant,2,2,1,True
USR-00056,2025-03-26,Control,2,2,4,False
USR-00057,2025-09-18,Control,5,2,2,False
USR-00058,2025-09-15,Control,2,0,0,True
USR-00059,2025-06-04,Control,5,3,0,False
USR-00060,2025-11-04,Control,2,5,1,False
USR-00061,2025-11-24,Control,5,2,2,False
USR-00062,2025-04-26,Variant,3,2,2,False
USR-00063,2025-08-11,Control,2,4,1,True
USR-00064,2025-12-05,Control,1,5,0,True
USR-00065,2025-02-07,Variant,1,4,3,False
USR-00066,2025-07-18,Control,2,2,1,True
USR-00067,2025-08-26,Variant,2,2,2,True
USR-00068,2025-09-03,Control,5,2,1,False
USR-00069,2025-03-20,Variant,5,2,0,False
USR-00070,2025-02-26,Variant,2,2,2,True
USR-00071,2025-06-13,Control,2,3,0,True
USR-00072,2025-01-03,Control,2,5,1,True
USR-00073,2025-02-05,Variant,1,3,0,True
USR-00074,2025-10-07,Variant,2,3,1,False
USR-00075,2025-02-13,Variant,3,5,1,True
USR-00076,2025-08-19,Variant,2,4,3,True
USR-00077,2025-03-27,Control,2,1,0,True
USR-00078,2025-08-17,Control,2,2,2,False
USR-00079,2025-10-27,Control,2,1,0,True
USR-00080,2025-10-13,Variant,2,5,1,True
USR-00081,2025-09-23,Variant,5,0,2,False
USR-00082,2025-06-23,Control,5,5,3,False
USR-00083,2025-05-12,Control,3,4,0,False
USR-00084,2025-12-26,Control,5,3,1,False
USR-00085,2025-10-20,Control,2,3,2,True
USR-00086,2025-03-16,Variant,5,3,1,True
USR-00087,2025-08-18,Variant,1,1,2,False
USR-00088,2025-12-22,Variant,2,1,2,True
USR-00089,2025-11-24,Control,2,2,2,True
USR-00090,2025-08-16,Control,3,3,4,False
USR-00091,2025-05-07,Variant,2,3,1,True
USR-00092,2025-09-16,Variant,2,3,2,False
USR-00093,2025-12-10,Variant,3,4,1,True
USR-00094,2025-03-10,Variant,2,5,2,True
USR-00095,2025-08-16,Control,2,2,1,False
USR-00096,2025-02-09,Variant,2,2,1,False
USR-00097,2025-08-13,Control,5,3,1,False
USR-00098,2025-12-14,Control,5,2,2,False
USR-00099,2025-12-01,Control,3,4,3,False
USR-00100,2025-01-03,Control,5,5,2,True
USR-00101,2025-08-29,Variant,5,4,2,False
USR-00102,2025-06-16,Control,2,4,3,False
USR-00103,2025-01-31,Variant,1,5,0,True
USR-00104,2025-06-15,Variant,5,2,4,False
USR-00105,2025-10-26,Control,2,5,2,True
USR-00106,2025-03-04,Control,3,1,6,False
USR-00107,2025-03-12,Variant,2,2,2,True
USR-00108,2025-11-20,Control,2,3,0,False
USR-00109,2025-04-15,Control,2,3,1,True
USR-00110,2025-05-09,Control,2,3,0,True
USR-00111,2025-03-08,Control,2,2,0,False
USR-00112,2025-10-12,Variant,2,5,1,True
USR-00113,2025-08-02,Variant,2,3,2,False
USR-00114,2025-04-06,Variant,1,2,0,True
USR-00115,2025-03-16,Variant,5,3,1,False
USR-00116,2025-01-15,Variant,5,6,1,False
USR-00117,2025-02-17,Control,2,8,1,False
USR-00118,2025-09-30,Variant,5,3,0,True
USR-00119,2025-02-12,Variant,5,0,1,False
USR-00120,2025-01-08,Variant,2,5,0,False
USR-00121,2026-01-01,Variant,2,3,1,True
USR-00122,2025-01-03,Control,2,4,0,False
USR-00123,2025-05-30,Control,3,3,2,True
USR-00124,2025-12-07,Control,2,2,1,True
USR-00125,2025-09-14,Control,2,3,3,False
USR-00126,2025-10-11,Variant,5,1,1,False
USR-00127,2025-04-07,Variant,5,3,1,False
USR-00128,2025-03-22,Control,4,0,1,True
USR-00129,2025-03-01,Variant,2,1,3,False
USR-00130,2025-11-01,Control,5,3,2,True
USR-00131,2025-05-29,Control,2,1,1,True
USR-00132,2025-09-10,Control,2,0,1,False
USR-00133,2025-12-08,Control,2,0,1,True
USR-00134,2025-11-29,Variant,2,4,0,True
USR-00135,2025-02-08,Control,2,3,3,False
USR-00136,2025-01-09,Variant,5,4,1,True
USR-00137,2025-07-18,Variant,2,7,2,False
USR-00138,2025-06-03,Control,1,3,2,True
USR-00139,2025-05-01,Variant,5,1,1,False
USR-00140,2025-04-28,Variant,5,3,2,False
USR-00141,2025-06-11,Control,2,3,3,True
USR-00142,2025-01-06,Control,2,2,1,False
USR-00143,2025-04-02,Control,2,7,0,True
USR-00144,2025-02-28,Control,1,2,1,True
USR-00145,2025-10-15,Control,5,4,0,False
USR-00146,2025-04-19,Variant,2,3,2,False
USR-00147,2025-06-24,Variant,2,2,0,False
USR-00148,2025-06-22,Control,5,0,0,False
USR-00149,2025-07-31,Control,2,7,0,True
USR-00150,2025-01-11,Variant,5,5,0,False
USR-00151,2025-05-01,Control,2,5,1,True
USR-00152,2025-10-10,Control,5,1,3,False
USR-00153,2025-06-15,Control,2,4,2,False
USR-00154,2025-05-25,Variant,5,4,1,True
USR-00155,2025-02-02,Control,2,2,1,True
USR-00156,2025-09-20,Variant,2,1,2,True
USR-00157,2025-04-28,Variant,1,4,1,True
USR-00158,2025-05-08,Control,2,5,3,False
USR-00159,2025-01-08,Variant,2,5,2,False
USR-00160,2025-02-16,Control,3,2,1,False
USR-00161,2025-08-22,Variant,3,6,1,False
USR-00162,2025-05-26,Variant,3,3,2,True
USR-00163,2025-04-02,Variant,4,4,1,False
USR-00164,2025-12-24,Control,5,4,4,False
USR-00165,2025-11-08,Variant,3,2,2,True
USR-00166,2025-05-13,Control,5,10,4,True
USR-00167,2025-09-20,Control,2,4,0,True
USR-00168,2025-04-03,Control,5,3,1,False
USR-00169,2025-12-02,Variant,2,0,0,True
USR-00170,2025-07-31,Variant,2,2,4,False
USR-00171,2025-12-29,Control,2,2,1,False
USR-00172,2025-12-10,Variant,5,1,1,False
USR-00173,2025-03-11,Control,4,4,1,True
USR-00174,2025-10-03,Variant,2,4,0,False
USR-00175,2025-02-28,Control,1,2,2,True
USR-00176,2025-10-01,Variant,5,3,0,False
USR-00177,2025-07-17,Control,4,6,1,False
USR-00178,2025-11-08,Variant,2,2,1,False
USR-00179,2025-02-13,Control,2,2,3,False
USR-00180,2025-01-30,Control,5,4,0,False
USR-00181,2025-05-14,Control,1,5,4,False
USR-00182,2025-12-16,Variant,2,2,3,True
USR-00183,2025-03-11,Variant,5,2,3,False
USR-00184,2025-09-18,Control,2,4,2,True
USR-00185,2025-05-10,Variant,1,3,0,False
USR-00186,2025-08-16,Variant,1,4,0,True
USR-00187,2025-07-29,Variant,2,3,4,True
USR-00188,2025-08-14,Variant,5,2,2,True
USR-00189,2025-06-09,Control,2,5,1,False
USR-00190,2025-02-06,Control,2,0,0,True
USR-00191,2025-08-29,Variant,5,4,2,False
USR-00192,2025-06-11,Variant,5,3,1,True
USR-00193,2025-03-21,Variant,1,1,0,False
USR-00194,2025-04-05,Control,2,4,0,False
USR-00195,2025-07-21,Control,1,4,8,False
USR-00196,2025-02-24,Variant,2,3,1,False
USR-00197,2025-10-23,Variant,2,0,3,False
USR-00198,2025-08-13,Variant,3,3,0,False
USR-00199,2025-12-11,Variant,2,5,2,True
USR-00200,2025-12-02,Variant,3,1,2,True
USR-00201,2025-05-14,Control,2,5,1,False
USR-00202,2025-06-09,Control,2,2,5,True
USR-00203,2025-05-12,Variant,5,2,3,False
USR-00204,2025-06-20,Variant,1,2,1,False
USR-00205,2025-09-06,Control,2,3,1,False
USR-00206,2025-04-08,Control,1,5,1,True
USR-00207,2025-10-17,Variant,1,5,1,True
USR-00208,2025-08-15,Control,2,2,5,False
USR-00209,2025-12-09,Control,3,3,1,True
USR-00210,2025-12-01,Variant,5,0,1,False
USR-00211,2025-03-22,Variant,5,4,3,False
USR-00212,2025-03-28,Variant,5,2,2,False
USR-00213,2025-07-09,Control,5,8,4,False
USR-00214,2025-09-09,Variant,2,5,4,False
USR-00215,2025-12-26,Control,2,4,2,False
USR-00216,2025-08-12,Control,2,3,3,False
USR-00217,2025-09-10,Variant,5,3,0,False
USR-00218,2025-10-27,Variant,2,1,1,True
USR-00219,2025-12-31,Variant,5,1,1,False
USR-00220,2025-01-22,Variant,1,3,0,False
USR-00221,2025-06-07,Variant,2,4,1,True
USR-00222,2025-02-12,Control,2,2,0,True
USR-00223,2025-04-14,Control,5,2,0,False
USR-00224,2025-09-29,Control,1,4,3,False
USR-00225,2025-06-30,Control,2,2,1,True
USR-00226,2025-01-25,Variant,1,3,2,False
USR-00227,2025-12-08,Control,4,2,1,True
USR-00228,2025-12-09,Variant,2,1,5,True
USR-00229,2025-05-06,Variant,2,4,1,True
USR-00230,2025-06-24,Variant,2,3,1,True
USR-00231,2025-02-24,Variant,2,2,1,True
USR-00232,2025-08-15,Variant,3,4,3,True
USR-00233,2025-06-28,Control,2,2,2,False
USR-00234,2025-05-13,Control,2,3,1,False
USR-00235,2025-09-26,Variant,5,0,1,False
USR-00236,2025-05-06,Control,5,4,3,False
USR-00237,2025-08-17,Control,2,4,1,True
USR-00238,2025-04-23,Variant,3,3,0,False
USR-00239,2025-12-27,Control,2,0,1,True
USR-00240,2025-10-22,Variant,2,0,3,True
USR-00241,2025-11-03,Variant,5,3,0,False
USR-00242,2025-03-12,Variant,2,2,0,False
USR-00243,2025-10-16,Control,4,3,2,True
USR-00244,2025-09-18,Control,2,2,3,True
USR-00245,2025-11-03,Variant,3,6,2,True
USR-00246,2025-08-22,Control,2,4,4,False
USR-00247,2025-02-08,Variant,1,3,2,False
USR-00248,2025-10-04,Variant,5,4,1,True
USR-00249,2025-08-16,Variant,1,6,3,True
USR-00250,2025-04-20,Control,5,3,1,False
USR-00251,2025-04-18,Control,4,0,1,True
USR-00252,2025-05-08,Variant,5,0,1,False
USR-00253,2025-02-27,Control,2,7,3,False
USR-00254,2025-11-08,Control,2,5,3,True
USR-00255,2025-04-12,Variant,5,2,1,False
USR-00256,2025-12-30,Variant,2,6,0,True
USR-00257,2025-04-12,Variant,3,6,2,True
USR-00258,2025-03-09,Variant,3,2,2,True
USR-00259,2025-11-18,Control,1,4,1,True
USR-00260,2025-12-23,Variant,2,2,0,False
USR-00261,2025-12-21,Variant,5,1,4,False
USR-00262,2025-11-02,Control,2,5,1,True
USR-00263,2025-11-25,Variant,1,7,0,False
USR-00264,2025-08-12,Variant,5,0,2,True
USR-00265,2025-12-15,Variant,4,2,2,True
USR-00266,2025-03-28,Variant,4,0,0,False
USR-00267,2025-07-06,Variant,2,4,3,True
USR-00268,2025-05-14,Control,2,5,2,True
USR-00269,2025-08-18,Control,2,2,3,False
USR-00270,2025-12-16,Variant,2,1,0,True
USR-00271,2025-09-21,Variant,5,3,1,True
USR-00272,2025-12-04,Variant,2,2,1,True
USR-00273,2025-02-16,Variant,3,3,2,True
USR-00274,2025-04-04,Variant,2,3,1,True
USR-00275,2025-06-13,Variant,3,5,5,True
USR-00276,2025-06-09,Variant,5,4,1,False
USR-00277,2025-05-24,Variant,5,2,0,False
USR-00278,2025-04-29,Variant,2,7,1,False
USR-00279,2025-12-12,Variant,5,3,6,False
USR-00280,2025-03-22,Variant,2,3,2,True
USR-00281,2026-01-01,Control,2,0,6,False
USR-00282,2025-09-25,Control,3,6,3,False
USR-00283,2025-11-03,Control,2,3,0,True
USR-00284,2025-07-07,Variant,3,0,2,True
USR-00285,2025-07-25,Control,2,6,0,False
USR-00286,2025-08-24,Control,2,3,0,True
USR-00287,2025-11-09,Variant,2,6,2,True
USR-00288,2025-11-04,Control,1,1,3,False
USR-00289,2025-05-16,Variant,5,5,3,False
USR-00290,2025-01-06,Control,2,4,3,False
USR-00291,2025-07-27,Control,2,4,1,True
USR-00292,2025-08-01,Variant,5,4,1,True
USR-00293,2025-09-11,Control,4,1,2,False
USR-00294,2025-11-05,Control,4,1,1,False
USR-00295,2025-05-12,Variant,5,9,2,False
USR-00296,2025-06-12,Variant,2,6,2,True
USR-00297,2025-01-22,Control,2,4,0,False
USR-00298,2025-08-07,Variant,5,2,0,False
USR-00299,2025-01-25,Control,2,3,0,True
USR-00300,2025-12-11,Control,1,4,1,False
USR-00301,2025-04-13,Variant,2,4,0,True
USR-00302,2025-10-31,Variant,3,2,0,True
USR-00303,2025-10-06,Variant,5,1,0,False
USR-00304,2025-12-06,Variant,2,4,1,False
USR-00305,2025-12-16,Variant,2,1,0,False
USR-00306,2025-04-22,Variant,4,4,5,False
USR-00307,2025-09-26,Control,5,5,3,False
USR-00308,2025-09-07,Variant,4,2,1,False
USR-00309,2025-06-28,Control,5,4,3,False
USR-00310,2025-10-28,Control,1,2,1,False
USR-00311,2025-12-07,Control,5,3,2,True
USR-00312,2025-10-23,Control,5,4,1,True
USR-00313,2025-01-28,Variant,5,4,4,False
USR-00314,2025-02-28,Variant,2,3,0,False
USR-00315,2025-12-20,Variant,2,5,1,False
USR-00316,2025-05-10,Control,2,3,1,True
USR-00317,2025-10-09,Control,5,2,2,False
USR-00318,2025-11-04,Control,2,1,3,False
USR-00319,2025-03-17,Control,2,4,0,False
USR-00320,2025-06-02,Variant,2,2,3,False
USR-00321,2025-11-29,Variant,3,4,3,True
USR-00322,2025-09-16,Variant,2,5,2,True
USR-00323,2025-07-24,Control,5,0,2,False
USR-00324,2025-06-06,Variant,2,2,2,False
USR-00325,2025-07-26,Variant,5,2,2,False
USR-00326,2025-04-04,Variant,5,2,2,False
USR-00327,2025-10-21,Variant,5,1,0,False
USR-00328,2025-02-01,Control,2,2,0,False
USR-00329,2025-09-05,Control,2,2,0,True
USR-00330,2025-06-20,Control,2,7,1,True
USR-00331,2025-08-10,Variant,3,2,1,True
USR-00332,2025-01-18,Control,2,3,1,True
USR-00333,2025-09-20,Control,5,1,0,False
USR-00334,2025-11-13,Control,2,4,1,False
USR-00335,2025-09-25,Control,4,2,2,False
USR-00336,2025-01-24,Variant,5,3,0,False
USR-00337,2025-11-18,Variant,2,5,2,False
USR-00338,2025-11-22,Control,2,3,4,True
USR-00339,2025-07-30,Control,2,3,2,True
USR-00340,2025-07-30,Control,5,3,0,False
USR-00341,2025-04-19,Control,2,4,2,False
USR-00342,2025-04-09,Control,2,6,1,True
USR-00343,2025-06-29,Control,5,5,5,False
USR-00344,2025-12-17,Control,1,1,1,True
USR-00345,2025-02-19,Variant,2,4,2,True
USR-00346,2025-07-11,Variant,3,1,0,True
USR-00347,2025-04-27,Control,2,3,1,True
USR-00348,2025-05-15,Control,2,4,1,False
USR-00349,2025-12-23,Variant,5,4,2,True
USR-00350,2025-03-20,Variant,5,5,3,False
USR-00351,2025-09-08,Variant,2,3,2,True
USR-00352,2025-07-23,Variant,1,1,3,True
USR-00353,2025-09-22,Control,3,1,3,False
USR-00354,2025-12-09,Control,5,4,0,False
USR-00355,2025-04-20,Variant,5,5,2,False
USR-00356,2025-04-07,Control,5,2,2,False
USR-00357,2025-09-18,Variant,3,4,2,True
USR-00358,2025-02-28,Variant,5,6,0,False
USR-00359,2025-09-25,Variant,5,3,1,True
USR-00360,2025-09-26,Control,2,3,1,True
USR-00361,2025-02-13,Variant,2,3,0,True
USR-00362,2025-06-03,Control,3,2,0,True
USR-00363,2025-08-11,Variant,3,4,1,False
USR-00364,2025-09-01,Variant,2,2,0,False
USR-00365,2025-06-11,Control,2,1,2,True
USR-00366,2025-12-18,Variant,2,2,1,True
USR-00367,2025-04-19,Variant,2,2,2,False
USR-00368,2025-12-03,Control,2,4,3,False
USR-00369,2025-04-07,Control,2,4,1,True
USR-00370,2025-05-30,Control,5,3,2,True
USR-00371,2025-11-26,Control,2,4,3,False
USR-00372,2025-11-13,Control,1,4,2,False
USR-00373,2025-12-03,Variant,5,1,2,False
USR-00374,2025-06-10,Control,2,5,4,False
USR-00375,2025-02-06,Control,2,4,1,True
USR-00376,2025-05-24,Variant,1,1,0,False
USR-00377,2025-06-21,Control,2,5,4,False
USR-00378,2025-08-07,Variant,2,4,2,False
USR-00379,2025-03-04,Control,2,1,2,False
USR-00380,2025-12-28,Control,2,2,3,True
USR-00381,2025-06-12,Variant,2,4,0,True
USR-00382,2025-08-31,Variant,2,2,2,True
USR-00383,2025-12-12,Variant,5,6,2,False
USR-00384,2025-12-26,Variant,5,4,2,True
USR-00385,2025-01-27,Variant,2,6,2,True
USR-00386,2025-10-22,Control,2,4,5,False
USR-00387,2025-12-08,Control,2,4,1,True
USR-00388,2025-04-12,Variant,5,2,4,False
USR-00389,2025-12-25,Variant,5,1,2,True
USR-00390,2025-04-18,Variant,2,3,2,True
USR-00391,2025-10-13,Control,3,2,4,False
USR-00392,2025-07-28,Control,2,4,0,False
USR-00393,2025-08-15,Variant,5,5,1,True
USR-00394,2025-10-07,Control,2,0,1,True
USR-00395,2025-11-17,Variant,3,5,1,True
USR-00396,2025-11-24,Variant,5,3,0,False
USR-00397,2025-01-01,Control,5,3,2,False
USR-00398,2025-10-16,Variant,5,5,2,True
USR-00399,2025-03-10,Variant,3,0,5,False
USR-00400,2025-01-28,Control,1,3,2,False
USR-00401,2025-10-17,Variant,4,1,2,True
USR-00402,2025-11-06,Variant,5,2,1,False
USR-00403,2025-10-20,Variant,2,3,1,True
USR-00404,2025-06-20,Control,4,1,1,True
USR-00405,2025-11-03,Variant,5,1,1,True
USR-00406,2025-11-28,Control,5,4,1,False
USR-00407,2025-12-25,Control,1,5,0,True
USR-00408,2025-11-29,Variant,5,5,2,False
USR-00409,2025-03-11,Control,2,2,1,False
USR-00410,2025-02-17,Control,4,2,3,False
USR-00411,2025-01-15,Variant,2,3,4,False
USR-00412,2025-03-15,Variant,5,5,1,False
USR-00413,2025-01-08,Variant,3,6,1,False
USR-00414,2025-09-05,Variant,3,3,0,False
USR-00415,2025-05-11,Control,1,1,4,False
USR-00416,2025-06-06,Control,2,2,1,True
USR-00417,2025-03-13,Control,5,2,2,False
USR-00418,2025-06-23,Variant,2,2,1,False
USR-00419,2025-12-23,Variant,2,2,1,False
USR-00420,2025-09-04,Variant,2,2,1,True
USR-00421,2025-07-19,Variant,5,3,1,False
USR-00422,2026-01-01,Control,2,4,1,False
USR-00423,2025-07-14,Control,2,3,0,False
USR-00424,2025-06-27,Control,2,2,0,True
USR-00425,2025-02-18,Variant,2,2,2,True
USR-00426,2025-03-06,Control,1,5,2,True
USR-00427,2025-04-20,Variant,5,3,4,False
USR-00428,2025-12-26,Control,2,2,1,True
USR-00429,2025-09-04,Control,5,1,0,False
USR-00430,2025-06-15,Control,5,5,2,True
USR-00431,2025-08-13,Variant,5,2,1,False
USR-00432,2025-10-15,Variant,2,2,1,False
USR-00433,2025-02-08,Control,5,5,3,False
USR-00434,2025-06-03,Control,5,2,4,False
USR-00435,2025-03-26,Variant,2,3,1,False
USR-00436,2025-04-22,Control,5,0,3,False
USR-00437,2025-11-23,Variant,1,0,2,False
USR-00438,2025-08-12,Variant,5,1,3,False
USR-00439,2025-10-22,Control,2,4,5,False
USR-00440,2025-12-01,Control,2,6,0,True
USR-00441,2025-12-27,Variant,2,3,2,True
USR-00442,2025-04-25,Control,2,1,2,False
USR-00443,2025-04-29,Control,2,0,0,False
USR-00444,2025-03-08,Variant,2,0,2,False
USR-00445,2025-02-15,Variant,3,0,4,False
USR-00446,2025-01-03,Variant,3,1,2,True
USR-00447,2025-05-12,Variant,5,3,0,True
USR-00448,2025-07-09,Control,4,5,1,True
USR-00449,2025-01-25,Control,1,7,3,True
USR-00450,2025-03-14,Variant,5,0,3,False
USR-00451,2025-07-07,Variant,5,4,2,True
USR-00452,2026-01-01,Control,2,2,1,True
USR-00453,2025-10-16,Variant,2,2,2,False
USR-00454,2025-07-20,Control,2,4,2,False
USR-00455,2025-05-04,Control,2,0,0,True
USR-00456,2025-06-07,Control,1,3,1,True
USR-00457,2025-01-10,Control,2,1,1,True
USR-00458,2025-01-21,Control,3,3,0,True
USR-00459,2025-12-30,Control,4,6,3,False
USR-00460,2025-03-18,Control,5,3,2,False
USR-00461,2025-01-27,Variant,1,5,1,False
USR-00462,2025-03-11,Variant,5,2,0,False
USR-00463,2025-08-06,Variant,5,1,2,False
USR-00464,2025-09-17,Variant,3,4,0,False
USR-00465,2025-09-27,Control,2,7,0,True
USR-00466,2025-12-11,Control,2,2,1,True
USR-00467,2025-03-24,Variant,5,4,1,False
USR-00468,2025-02-25,Control,2,4,4,False
USR-00469,2025-05-20,Variant,5,0,1,True
USR-00470,2025-10-19,Control,2,5,1,True
USR-00471,2025-04-27,Variant,2,7,0,False
USR-00472,2025-11-11,Control,2,1,1,False
USR-00473,2025-06-19,Variant,5,2,1,False
USR-00474,2025-01-31,Variant,3,3,2,False
USR-00475,2025-12-25,Variant,5,1,1,False
USR-00476,2025-01-28,Control,1,2,4,False
USR-00477,2025-08-13,Variant,2,2,1,False
USR-00478,2025-12-26,Variant,1,1,0,False
USR-00479,2025-12-13,Variant,5,7,2,True
USR-00480,2025-01-09,Variant,5,0,1,False
USR-00481,2025-05-03,Variant,3,8,2,True
USR-00482,2025-03-17,Control,2,3,1,False
USR-00483,2025-10-01,Variant,2,3,0,False
USR-00484,2025-07-16,Variant,2,0,5,False
USR-00485,2025-08-31,Variant,5,3,1,False
USR-00486,2025-01-20,Control,4,1,6,True
USR-00487,2025-03-10,Control,2,3,3,False
USR-00488,2025-03-04,Variant,1,1,2,False
USR-00489,2025-10-22,Variant,3,1,1,True
USR-00490,2025-11-15,Control,2,5,2,False
USR-00491,2025-03-04,Variant,5,4,1,False
USR-00492,2025-01-25,Control,5,9,0,False
USR-00493,2025-10-06,Control,2,2,2,True
USR-00494,2025-05-15,Control,2,2,3,False
USR-00495,2025-04-02,Control,2,2,2,False
USR-00496,2025-12-18,Variant,2,2,0,False
USR-00497,2025-09-29,Control,2,4,0,True
USR-00498,2025-01-12,Variant,4,1,2,False
USR-00499,2025-07-06,Variant,5,2,2,False
USR-00500,2025-06-18,Variant,5,2,3,False
USR-00501,2025-08-31,Variant,2,3,0,False
USR-00502,2025-08-21,Control,3,1,2,False
USR-00503,2025-11-17,Variant,1,1,1,True
USR-00504,2025-09-21,Variant,5,5,1,False
USR-00505,2025-03-23,Control,2,4,2,False
USR-00506,2025-10-21,Variant,5,7,1,True
USR-00507,2025-03-19,Variant,3,1,1,False
USR-00508,2025-10-10,Variant,5,2,3,False
USR-00509,2025-07-20,Variant,2,5,0,False
USR-00510,2025-06-17,Variant,5,4,2,False
USR-00511,2025-03-12,Control,2,5,1,True
USR-00512,2025-12-24,Variant,2,4,2,False
USR-00513,2025-12-06,Variant,5,3,2,False
USR-00514,2025-10-17,Control,2,4,2,False
USR-00515,2025-05-18,Control,2,6,4,False
USR-00516,2025-01-01,Control,2,4,3,False
USR-00517,2025-06-19,Variant,4,6,1,False
USR-00518,2025-09-24,Variant,5,2,1,True
USR-00519,2025-01-13,Control,2,4,3,False
USR-00520,2025-02-13,Variant,2,0,2,False
USR-00521,2025-02-01,Control,2,3,1,False
USR-00522,2025-08-01,Variant,5,1,2,False
USR-00523,2025-07-04,Variant,2,4,2,False
USR-00524,2025-07-26,Variant,4,2,0,True
USR-00525,2025-06-02,Control,2,3,1,True
USR-00526,2025-02-03,Control,2,4,5,False
USR-00527,2025-03-14,Control,2,5,0,True
USR-00528,2025-03-27,Control,4,2,1,False
USR-00529,2025-10-15,Variant,2,4,1,True
USR-00530,2025-05-29,Variant,5,5,1,False
USR-00531,2025-02-25,Variant,2,4,4,True
USR-00532,2025-01-05,Variant,5,5,3,False
USR-00533,2025-08-24,Variant,5,1,4,False
USR-00534,2025-08-16,Variant,2,3,1,True
USR-00535,2025-12-25,Variant,2,5,4,False
USR-00536,2025-10-26,Variant,2,1,2,False
USR-00537,2025-03-22,Control,2,0,2,True
USR-00538,2025-08-23,Control,3,1,3,False
USR-00539,2025-08-24,Control,5,2,1,True
USR-00540,2025-04-11,Variant,5,3,1,False
USR-00541,2025-02-21,Variant,2,1,2,False
USR-00542,2025-11-24,Control,2,2,1,True
USR-00543,2025-12-22,Variant,2,2,0,True
USR-00544,2025-12-02,Variant,5,5,2,False
USR-00545,2025-08-30,Control,2,1,2,False
USR-00546,2025-10-28,Control,2,3,2,False
USR-00547,2025-01-01,Variant,5,2,5,False
USR-00548,2025-10-31,Variant,2,4,2,False
USR-00549,2025-01-17,Variant,2,5,3,True
USR-00550,2025-01-17,Variant,5,3,1,False
USR-00551,2025-03-09,Variant,5,3,4,False
USR-00552,2025-11-14,Variant,5,3,2,True
USR-00553,2025-05-09,Variant,5,2,3,False
USR-00554,2025-06-09,Variant,2,3,1,True
USR-00555,2025-06-20,Control,2,6,3,False
USR-00556,2025-01-17,Control,2,2,5,False
USR-00557,2025-11-20,Control,2,1,1,True
USR-00558,2025-01-13,Variant,3,3,3,False
USR-00559,2025-06-28,Variant,2,1,0,True
USR-00560,2025-01-29,Variant,1,4,0,True
USR-00561,2025-11-19,Control,1,5,2,True
USR-00562,2025-01-09,Control,2,2,2,False
USR-00563,2025-12-31,Control,2,3,1,True
USR-00564,2025-03-16,Control,5,0,2,True
USR-00565,2025-02-22,Variant,2,1,2,True
USR-00566,2025-09-18,Control,2,7,3,True
